14QII26	SNORD114-26,SNORD114-26
2700066J21RIK	UTP14C,UTP14C
KANSL1AS1	KANSL1-AS1
PLCII	PLCG1,PLCG1
MTVR1	FAM89B,FAM89B
IBA57AS1	IBA57-AS1
MYD118	GADD45B,GADD45B
MIR3661	MIR3661
OR11105	OR4X2,OR4X2
BA164L231	FRMD1,FRMD1
PLCIV	PLCG2,PLCG2
PERB111	MICA,MICA,MICA
DISC1	DISC1
RNU61104P	RNU6-1104P
RNU47P	RNU4-7P
RN7SL754P	RN7SL754P
RNU6627P	RNU6-627P
KIDCR	DCXR,DCXR
IGHV330	IGHV3-30
HEL129	LCN9,LCN9
BSDL	CEL,FAP,LIPA,CEL
GPSN2L	TECRL,TECRL
LAS1	CASC1,CASC1
LAS2	C18orf54,C18orf54
TCOF1	TCOF1
NSRP1	NSRP1
HOIL1	RBCK1
FENS1	WDFY1,WDFY1
OPA7	TMEM126A,TMEM126A
SPPL1	HM13,HM13
RBMX1B	FHL1,FHL1,FHL1
OPA3	OPA3
RBMX1A	FHL1,FHL1,FHL1
Y14	RBM8A,RBM8A
RPEL1	PHACTR1,PHACTR1
OPA9	ACO2,ACO2
PAOH1	SMOX,SMO,SMOX
IGHV338	IGHV3-38
SNORA11A	SNORA11,SNORA11
RPIB9	RUNDC3B,RUNDC3B
RNU1140P	RNU1-140P
PMSCL75	EXOSC9,EXOSC9
BERF1	ZNF148,ZNF148
FLG2	FLG2
KIAA0831	ATG14,ATG14
TAFIID32	TAF9,TAF9
NEURODAP1	PJA2,PJA2
OSBP10	OSBPL8,OSBPL8
OSBP12	OSBPL11,OSBPL11
ITGA8	ITGA8
ITGA9	ITGA9
PIR121	CYFIP2,CYFIP2
ERG1	CUZD1,KCNH2
ERG2	KCNH6
ERG3	SC5D,KCNH7,ERG
ITGA1	ITGA1
ITGA2	ITGA2
ITGA3	ITGA3
ITGA4	ITGA4
MOX44	CD53,CD53
ITGA6	ITGA6
ITGA7	ITGA7
TRHR	TRHR
DYNAIII	DNM3,DNM3
NSE2	FAM84B,NSMCE2
DOLPP1	DOLPP1
TRHY	TCHH,TCHH
UFSP1	UFSP1
RIIBETA	PRKAR2B,PRKAR2B
UFSP2	UFSP2
LRRC2AS1	LUZPP1
SNORA11C	SNORA11C
