HGNC:32824	MIR568
HGNC:40468	PRKAG2-AS1
ENSG00000111671	SPSB2
HGNC:44700	LINC00709
ENSG00000187223	LCE2D
HGNC:40463	PPEF1-AS1
ENSG00000110514	MADD
ENSG00000086015	MAST2
HGNC:5864	IGLJ2
HGNC:5865	IGLJ3
HGNC:5866	IGLJ4
HGNC:5867	IGLJ5
HGNC:5860	IGLC6
HGNC:5861	IGLC7
HGNC:5863	IGLJ1
HGNC:41455	ATG10-IT1
HGNC:5868	IGLJ6
HGNC:5869	IGLJ7
ENSG00000255071	SAA2-SAA4
HGNC:17086	CSTF2T
ENSG00000169740	ZNF32
ENSG00000215869	LOC100129138
ENSG00000169744	LDB2
ENSG00000215866	LINC01356
HGNC:47044	CCAT2
ENSG00000261603	PRSS46
ENSG00000160161	CILP2
HGNC:30838	DEFB109P3
ENSG00000168298	HIST1H1E
ENSG00000168297	PXK
ENSG00000266461	MIR2392
ENSG00000260596	DUX4
ENSG00000168291	PDHB
HGNC:14829	OR10R3P
HGNC:14828	OR8I1P
HGNC:7648	NBEA
HGNC:47048	RNU6-85P
HGNC:7642	NAPG
HGNC:7643	NARS
HGNC:7640	NAP1L4
HGNC:7641	NAPA
HGNC:7646	NAT2
HGNC:14824	OR8H1
HGNC:7644	NASP
HGNC:7645	NAT1
HGNC:48279	RNU6-1316P
HGNC:48278	RNU6-1315P
HGNC:19193	SERPINA11
HGNC:48271	RNU6-1308P
HGNC:48270	RNU6-1307P
HGNC:48273	RNU6-1310P
HGNC:48272	RNU6-1309P
HGNC:48275	RNU6-1312P
HGNC:48274	RNU6-1311P
HGNC:48277	RNU6-1314P
HGNC:48276	RNU6-1313P
ENSG00000226454	LRFN2
ENSG00000149792	MRPL49
HGNC:42272	MTND5P10
ENSG00000149798	CDC42EP2
HGNC:22432	C7orf49
HGNC:16463	PRPF40A
HGNC:16462	STRBP
HGNC:16461	WBP11
HGNC:16460	FARP2
HGNC:16467	ACAP1
HGNC:16466	SUFU
HGNC:16465	EPSTI1
HGNC:24929	PSMG2
HGNC:42277	MTND5P15
HGNC:16469	ACAP2
HGNC:16468	LACTB
HGNC:13335	KCNQ1DN
HGNC:47211	RNU6-248P
ENSG00000221628	MIR1302-4
HGNC:3084	DVL1
ENSG00000250565	ATP6V1E2
ENSG00000266226	MIR4323
ENSG00000187961	KLHL17
