MMUMIR6349	mmu-mir-6349
2700066J21RIK	Utp14a,Utp14a
C80537	Ugcg,Ugcg
OLFR682PS1	Olfr682-ps1
MTVR1	Tfrc,Tfrc
MTVR2	Fam89b,Fam89b
4933433C11RIK	4933433C11Rik
LPLUNC3	Bpifb3,Bpifb3
MMUMIR6898	mmu-mir-6898
1500040L08RIK	Selm,Selm
EG436188	Gm5751,Gm5751
8430429K09RIK	8430429K09Rik
AI851514	3010026O09Rik,3010026O09Rik
C80530	Nynrin,Nynrin
1200013P10RIK	Crnkl1,Crnkl1
OLFR773PS1	Olfr773,Olfr773
GM14040	Gm14040
2410129E16RIK	Neurl1a,Neu1,Neurl1a
9130215M02RIK	Mboat1,Mboat1
1110004M18RIK	Ankra2,Ankra2
4833442G10RIK	Fbxo32,Fbxo32
GM12542	Gm12542
1700060B08RIK	Wdr13,Wdr13
LAST	Ssbp3,Ssbp3
6430407D20RIK	Ubxn2b,Ubxn2b
AU020929	Irf1,Irf1,Irf1
MOR1113	Olfr803,Olfr803
EAPA2	Fam115e
0610041D19RIK	Tjap1,Tjap1
GM7120	Gm7120
2410005A12RIK	Cdca3,Cdca3
1110069H02RIK	D19Bwg1357e
OLFR591	Olfr591
S100A7A	S100a7a
0610034O11RIK	Mrpl12,Mrpl12,Mrpl12
Y1R	Npy1r,Npy1r
LAS1	Casc1,Casc1
LAS2	4930503L19Rik,Lars,4930503L19Rik
GM14164	Gm14164
TCOF1	Tcof1
NSRP1	Ccdc55
KLRA9	Klra9
KLRA8	Klra8
KLRA7	Klra7
KLRA6	Klra6
KLRA5	Klra5
KLRA4	Klra4
KLRA3	Klra3
KLRA2	Klra2
KLRA1	Klra1
SPPL3	Sppl3
OPA3	Opa3
OPA1	Opa1
Y14	B020018G12Rik
AI480523	Gfpt2,Gfpt2
0610008P16RIK	Keg1,Keg1
6030417H05	Zfp462,Zfp462
AI480526	AI480526
MMSDH	Aldh6a1,Aldh6a1
ENSMUSG00000044537	Olfr779,Olfr779
ENSMUSG00000059244	Gm10062,Gm10062
0610041G12RIK	Diablo,Diablo
AU022207	Btf3l4,Btf3l4
2810021O14RIK	Tmem128,Tmem128
AV082137	Sbp,Sbp
B230384L07	Lhfpl4,Lhfpl4
AV082135	Fer,Fer
BERF1	Serpinh1,Zfp148
SLC38A5	Slc38a5
NSE5	Alg10b,Deaf1,Alg10b
TIMM8A1	Timm8a1
TIMM8A2	Timm8a2
NEURODAP1	Pja2,Pja2
AW107754	Rab10,Rab10
A630092E18	Wdhd1,Wdhd1
ITGA8	Itga8
ITGA9	Itga9
PIR121	Cyfip2,Cyfip2
ERG1	Cuzd1,Kcnh2
ERG3	Kcnh7,Kcnh7
AI325941	Prkd2,Pkd2,Prkd2
ITGA1	Itga1
ITGA2	Itga2
ITGA3	Itga3
ITGA4	Itga4
ITGA5	Itga5
ITGA6	Itga6
ITGA7	Itga7
TRHR	Trhr
4933406J07RIK	Syce1,Syce1
A55	Fbln5,Fbln5
1110019O03RIK	Apoo,Apoo
AW490096	Tmem8,Tmem8
FARP2	Farp2
A430036I03	Arl15,Arl15
UFSP1	Ufsp1
RIIBETA	Prkar2b,Prkar2b
TCAM1	Tcam1
GM2956	Gm2956
GM20738	Gm20738
OSAP	Mgarp,Mgarp
BB127715	Ece2,Ece2,Ece2
NENF	Nenf
1700001L05RIK	1700001L05Rik
APP3	Xpnpep3,Xpnpep3
PRBPDELTA	Pde6d,Pde6d
OSAD	Omd,Omd
GM10147	Gm10147
C030018L16RIK	Cep70,Cep70
D530024H21RIK	Nme7,Nme7
AI789751	Ly6i,Ly6i,Ly6i
PCTAIRE2BP	Tdrd7,Tdrd7
AI789753	Dap,Dap
LARP6	Larp6
PRP16	Dhx38,Dhx38
4930483C13RIK	4930483C13Rik
TBRIII	Tgfbr3,Tgfbr3
VMN1RPS33	V1ra8,V1ra8
MMUMIR719	Mir719,Mir719
CDK5R	Cdk5r1,Cdk5r1
ARHGAP22	Arhgap22
SPY	Eif2s3y,Eif2s3y
BIR1	Kcnj6,Kcnj6
GM20852	Gm20852
FAM212B	Fam212b
E130314N14RIK	Adamts18,Adamts18
GM10896	Trav14n-1,Trav14n-1
1810014G04RIK	Coq5,Coq5
ZFP161	Zbtb14,Zbtb14
CHST8	Chst8
ZFP162	Sf1,Wbp4,Sf1
GPR115	Gpr115
RASL28	Tlr4,Tlr4
RASL29	Rasl2-9
AW554389	Dync1i2,Dync1i2
ZNF879	Zfp879,Zfp879
CHST3	Chst3
CHST2	Chst2
CHST5	Chst5
CHST4	Chst4
CHST7	Chst7
D030040M08RIK	Smarca5,Smarca5
ITGAX	Itgax
1700113D08RIK	Dclk1,Dclk1
5830400A04RIK	Rhoh,Rhoh
PTP36	Ptpn14,Ptpn14
BCL2A1	Bcl2a1a,Bcl2a1a
GM8334	Gm8334
ENSMUSG00000073869	Gm10591,Gm10591
AI036339	Eif4e2,Eif4e2
NSE1	Fam84a,Fam84a
ITGAV	Itgav
TRH3	Cers2,Cers2
AU024121	Pcgf1,Pcgf1
TRH1	Cers4,Cers4
ITGAL	Itgal
ITGAM	Itgam
TRH4	Cers5,Cers5
GM13479	Gm13479
ERGL	Cplx3,Lman1l,Cplx3
1700061J05RIK	Tex33,Tex33
T2R21	Tas2r121,Tas2r121
T2R20	Tas2r120,Tas2r120
PRL7B1	Prl7b1
ITGAE	Itgae
3110001E11RIK	Rnf180,Rnf180
T2R24	Tas2r124,Tas2r124
AI481720	Ppm1l,Ppm1l
1110004P10RIK	Atp6v1d,Atp6v1d
AW229127	Cbfa2t3,Cbfa2t3
MIMICAN	Ogn,Ogn
GMPS	Gmps
B230358H09RIK	Eea1,Eea1
MOR1653	Olfr910,Olfr910
FCAS	Nlrp3,Nlrp3
MKIAA0810	Sun1,Sun1
MKIAA0813	Slit1,Slit1
MKIAA0812	Celsr3,Celsr3
WAVE1	Wasf1,Wasf1
WAVE2	Wasf2,Wasf2
3110002K08RIK	St13,St13
GM27422	mmu-mir-3473e
ARCP	Armc1,Armc1
EG632971	Rergl,Rergl
IGF2R	Igf2r
GM27426	mmu-mir-6904
C79802	Actl6a,Actl6a
GM27424	mmu-mir-6393
GCF	Nfxl1,Gucy2f
5830493P14RIK	Tmed7,Tmed7
NALPTHETA	Nlrp9a,Nlrp9a
ARTS	Sept4,Sept4
1700049E17RIK2	1700049E17Rik2
GM15506	Gm15506
GLCATS	B3gat2
VMN1R110	Vmn1r107,Vmn1r107
HAUS6	Haus6
SLC36A3	Slc36a3
CKS1B	Cks1b
SLC36A1	Slc36a1
GM306	Klhdc7b,Klhdc7b
MKIAA1146	Asb1,Asb1
MKIAA1147	E330009J07Rik,E330009J07Rik
MKIAA1142	Pak4,Pak4
PECAM	Pecam1,Pecam1,Pecam1
MROH2A	Mroh2a
VMN1R113	Vmn1r113
GM308	Slc2a13,Slc2a13
ARTN	Artn
ART1	Art1
ART3	Art3
ART5	Art5
ART4	Art4
AI447224	Tmed8,Tmed8
D830007E07RIK	Ip6k3,Ip6k3
3110017O03RIK	Rabl5
1110017C11RIK	Acss2,Ggt7
H2M11	H2-M11
GM9962	Gm9962
OTTMUSG00000011524	Gm13344,Gm13344
AI661967	Sprr2h,Sprr2h
B830028B13RIK	Fam196a,Fam196a
GM581	Gm581
OX40L	Tnfsf4
1700120B06RIK	Fam92b,Fam92b
CRTAM	Crtam
RLN	Rln1,Rln1
RLI	Abce1,Abce1
LINCBRN1A	2610017I09Rik
RLK	Txk,Txk
AI428202	Plekha5,Plekha5
2810485I05RIK	Fam76b,Fam76b
RLF	Rlf
RLC	Dock5,Dock5
AI037066	Snx4,Snx4
TLSP	Klk11,Klk11
SPF	Sec14l2,Otc,Sec14l4
ABCA8A	Abca8a
A830073O21RIK	A830073O21Rik
MOR2834	Olfr700,Olfr700
AI225941	Myct1,Myct1
1500036M03	Kat6a,Kat6a
P38B	Mapk11,Mapk11
MMUMIR190	Mir190,Mir190
GM4214	Gm4214
MMUMIR192	Mir192,Mir192,Mir192
ARFAPTIN	Arfip1,Arfip1
2310043L02RIK	Krtap1-5,Krtap1-5
P38A	Mapk14,Mapk14
ZFP839	Zfp839
HSPC032	Mtch2,Mtch2
CPEB1	Cpeb1
2810408E15RIK	Vps36,Vps36
CPEB3	Cpeb3
ZFP830	Zfp830
2700078K21RIK	Mob2,Mob2
SRBD1	Srbd1
CF8	F8
CF9	Igkv14-100,F9
CF6	Atp5j,Atp5j
CF7	F7,F7
MCEA1	Ceacam1,Ceacam1
AW557123	Dok1,Dok1
CF2	F2,Atp6ap1
CF3	F3
1200015P04RIK	Hopx,Hopx
EG434727	Gm14511
LF	Ltf,Ltf
LD	Grem1,Fmn1
AW124774	Stard3nl,Stard3nl
PTPTD14	Ptpn23,Ptpn23
LC	Grid2,Tpr,Grid2
LA	Cacna1a,Hpca,Tg,Cacna1a
B230110O18RIK	Zdhhc20,Zdhhc20
AV099323	AV099323
LL	Ildr2,Ildr2
LM	Slc30a4,Slc30a4
4732491M05	Slc17a5,Slc17a5
2410004K13RIK	Ddx28,Ddx28
LH	Lhb,Cacnb4
LV	Alad,Alad
TCRBV10	Trbv4,Trbv4
LT	Lta,Lta,Lta,Lta
LU	Bcam,Zbtb16
LR	T,T
LS	Edn3,Lias
LP	Vangl2,Hapln1
9830005G06RIK	Clec9a,Clec9a
RPMS7	Mrps7,Mrps7,Mrps7
DEPDC6	Deptor,Deptor
B2NACHR	Chrnb2,Chrnb2
AIBZIP	Creb3l4,Creb3l4
2810046K12RIK	Cenph,Cenph,Cenph
D230024G13RIK	Nacad,Nacad
USMG1	Rhbdd2,Rhbdd2
PEPCK	Pck1,Pck1,Pck1
OCTL1	Slc22a13,Slc22a13
D030012E24RIK	Ubald2,Ubald2
HOIL1	Rbck1,Rbck1
AI661344	Tmem106b,Tmem106b
AI853864	Romo1,Romo1
AI661340	Zmym6,Zmym6
GM6658	Gm6658
L6	Tm4sf1,Tm4sf1
