ENSMUSG00000028180	Zranb2
ENSMUSG00000028182	Lrriq3
ENSMUSG00000028185	Dnase2b
ENSMUSG00000028184	Adgrl2
ENSMUSG00000028187	Rpf1
MGI:5624654	Gm41769
ENSMUSG00000028189	Ctbs
ENSMUSG00000028188	Spata1
MGI:3649580	Rpl38-ps1
MGI:5579127	Gm28421
MGI:1858203	Rab25
MGI:3639715	Elcs2
MGI:3639714	Elcs1
MGI:3639717	Elyms2
MGI:3639716	Elyms1
MGI:5589067	Gm29908
MGI:3783188	Gm15746
MGI:5589065	Gm29906
MGI:5589064	Gm29905
MGI:94115	D7Mit91
MGI:2447322	Pcdha9
MGI:5589069	Gm29910
MGI:1858201	Cntnap1
ENSMUSG00000100528	Gm28881
MGI:3758259	Skts-fp3
MGI:3819513	Snora81
ENSMUSG00000038764	Ptpn3
MGI:2444592	D430047D06Rik
MGI:2444593	Pptc7
MGI:2444594	Slc26a9
MGI:2444595	6030443J06Rik
MGI:2444596	Fastkd1
MGI:4437735	BC026863
MGI:3697864	Mofp6
ENSMUSG00000035427	Mageb4
ENSMUSG00000035420	Fam170a
ENSMUSG00000070074	Mir484
ENSMUSG00000070075	Mir490
ENSMUSG00000070076	Mir127
ENSMUSG00000070077	Mir491
ENSMUSG00000070071	Mir465
ENSMUSG00000020752	Recql5
ENSMUSG00000070073	Mir470
ENSMUSG00000073735	Defb18
MGI:1336878	Taf1
ENSMUSG00000025278	Flnb
MGI:96767	Ldr2
ENSMUSG00000020758	Itgb4
MGI:4437731	A130088B03Rik
ENSMUSG00000069833	Ahnak
MGI:2387618	Nudt6
ENSMUSG00000033862	Cdk10
ENSMUSG00000033863	Klf9
ENSMUSG00000033860	Fgg
ENSMUSG00000069835	Sat2
ENSMUSG00000028233	Tgs1
ENSMUSG00000028232	Tmem68
ENSMUSG00000038763	Alpk3
MGI:2387617	Obp2a
ENSMUSG00000028236	Sdr16c5
MGI:5591267	Gm32108
MGI:5594804	Gm35645
MGI:5592979	Gm33820
MGI:5434303	Gm20948
ENSMUSG00000099284	Mir7026
MGI:5011170	Gm18985
MGI:3030480	Olfr646
MGI:5592973	Gm33814
MGI:5592972	Gm33813
MGI:5592974	Gm33815
MGI:5592977	Gm33818
MGI:3030481	Olfr647-ps1
MGI:5589063	Gm29904
ENSMUSG00000044534	Ackr2
ENSMUSG00000068122	Agtr2
MGI:5589062	Gm29903
ENSMUSG00000038768	9130409I23Rik
MGI:4414019	n-TPtgg7
MGI:1860775	Actr8
MGI:5621893	Gm39008
ENSMUSG00000068129	Cst7
MGI:1860776	Chdh
MGI:2182607	Sdsl
MGI:5589060	Gm29901
MGI:5595442	Gm36283
MGI:2442746	Slc43a2
MGI:2442745	B930049G02Rik
MGI:4439900	Gm16976
MGI:5621723	Gm38838
MGI:5621722	Gm38837
MGI:5621721	Gm38836
MGI:2442748	A730090N16Rik
MGI:5621727	Gm38842
MGI:4439903	Trav9-2
MGI:5621725	Gm38840
ENSMUSG00000046027	Stard5
ENSMUSG00000027405	Nop56
ENSMUSG00000027404	Snrpb
ENSMUSG00000075167	Olfr1101
ENSMUSG00000027406	Idh3b
ENSMUSG00000075161	Olfr1109
ENSMUSG00000027400	Pdyn
ENSMUSG00000027403	Tgm6
ENSMUSG00000027409	1700020A23Rik
ENSMUSG00000027408	Cpxm1
MGI:2155936	Pask
MGI:5579043	Gm28337
ENSMUSG00000018209	Stk4
MGI:1914853	Dusp6
ENSMUSG00000002808	Epdr1
MGI:5624279	Gm41394
ENSMUSG00000026200	Glb1l
ENSMUSG00000044288	Cnr1
ENSMUSG00000022961	Son
MGI:5579126	Gm28420
MGI:5589068	Gm29909
ENSMUSG00000022960	Donson
MGI:5594809	Gm35650
MGI:4439609	Gm16685
ENSMUSG00000044287	Nrn1l
MGI:2442295	Rab7b
MGI:5530869	Mir7240
ENSMUSG00000022962	Gart
MGI:2442293	Usp28
MGI:4439607	Ighv14-2
MGI:2141370	AA589573
MGI:2442299	8030445P17Rik
MGI:2442298	Lingo2
ENSMUSG00000006958	Chrd
ENSMUSG00000022964	Tmem50b
MGI:2443166	B930025P03Rik
MGI:2443167	A130082J08Rik
MGI:2443160	Pag1
ENSMUSG00000022967	Ifnar1
MGI:2443162	Uggt1
MGI:3819512	Snora7a
MGI:2144177	Pex12
MGI:3643937	Gm16463
MGI:2443169	D030016M11Rik
MGI:3643932	Ms4a4a
ENSMUSG00000058568	Defb50
ENSMUSG00000058569	Tmed9
MGI:3819510	Snora61
ENSMUSG00000054034	Tceal5
MGI:3819517	Snord110
ENSMUSG00000042807	Hecw2
MGI:3526711	Xkr7
ENSMUSG00000035429	Ptprh
MGI:5588899	Gm29740
ENSMUSG00000021583	Erap1
MGI:3642039	Gm10646
ENSMUSG00000021587	Pcsk1
MGI:5623170	Gm40285
MGI:5588891	Gm29732
ENSMUSG00000041505	Gm3402
MGI:5588893	Gm29734
ENSMUSG00000021589	Rhobtb3
MGI:5588895	Gm29736
MGI:5588894	Gm29735
MGI:5588897	Gm29738
MGI:5588896	Gm29737
ENSMUSG00000099881	2810013P06Rik
MGI:3642935	Gm8964
MGI:3718458	Mir193b
MGI:5594484	Gm35325
ENSMUSG00000104900	4930596I21Rik
MGI:3819519	Snord118
MGI:5594482	Gm35323
MGI:3649059	Gm7325
MGI:3762228	Wg2c
MGI:3762229	Wg2d
MGI:5594481	Gm35322
MGI:3650777	Gm14049
MGI:5012114	Gm19929
MGI:5012115	Gm19930
MGI:5012116	Gm19931
MGI:5295688	Esp23
MGI:3762226	Wg2a
MGI:3650774	Gm12717
ENSMUSG00000022085	Pebp4
MGI:3583889	Salpa4
MGI:5625275	Gm42390
ENSMUSG00000079034	Gm8300
MGI:5622466	Gm39581
MGI:5010840	Gm18655
MGI:1920350	2900092D14Rik
MGI:1920352	Slc22a23
MGI:1920353	3110009E18Rik
MGI:1101782	H3f3a-ps1
MGI:1933621	Smarcd2
MGI:1920356	Prss57
MGI:1101781	Elf3
MGI:3645692	Gm8660
MGI:3645691	Cyp2d41-ps
MGI:3650771	Gm13240
MGI:3645697	Gm8659
ENSMUSG00000065546	Mir196a-1
MGI:3645694	Gm8662
ENSMUSG00000030889	Vwa3a
MGI:5593366	Gm34207
MGI:3036290	Fam160b2
ENSMUSG00000086191	Zfp652os
ENSMUSG00000086196	Gm13571
MGI:5593362	Gm34203
MGI:3649050	Gm5845
ENSMUSG00000030881	Arfip2
ENSMUSG00000030880	Polr3e
ENSMUSG00000026750	Psmb7
ENSMUSG00000026751	Nr5a1
ENSMUSG00000030884	Uqcrc2
ENSMUSG00000026754	Golga1
ENSMUSG00000026755	Arpc5l
MGI:2150888	D7Tem1
ENSMUSG00000007338	Mrpl49
MGI:5595406	Gm36247
MGI:3612405	9030619P08Rik
MGI:5595400	Gm36241
ENSMUSG00000070072	Mir433
MGI:5595402	Gm36243
MGI:5595403	Gm36244
ENSMUSG00000059213	Ddn
MGI:3782256	Gm4081
MGI:3782251	Gm4076
MGI:2150886	D7Tem2
MGI:2150887	D7Tem3
MGI:1918339	Sept12
MGI:1918338	4933412E24Rik
MGI:1920688	1700061F12Rik
ENSMUSG00000047237	Fbxw21
MGI:1918331	4933416E03Rik
MGI:1918330	Sox5os1
MGI:1918333	Dmrtc1c1
MGI:1918332	4933416M07Rik
MGI:1918335	Arhgap19
MGI:1918334	4933409D19Rik
MGI:1918337	4933409K08Rik
MGI:1918336	4933412E12Rik
MGI:3527443	Taar7d
MGI:5595367	Gm36208
MGI:3527440	Taar7c-ps
MGI:2151137	Rhs1
MGI:2151136	Lrp1b
MGI:3527445	Taar7e
MGI:5623687	Gm40802
MGI:3645525	Gm7674
MGI:3645524	Vmn1r224
MGI:2151139	Iltifb
MGI:3030199	Olfr365
MGI:3645521	Gm4735
MGI:3645520	Gm8637
MGI:5623617	Gm40732
MGI:3645522	Gm5607
MGI:96405	Idd3
MGI:96404	Idd2
MGI:96407	Idd5
MGI:96406	Idd4
MGI:96401	Idd10
ENSMUSG00000086221	4930412B13Rik
MGI:96403	Idd12
MGI:99376	Iap5rc1
MGI:96409	Idd7
ENSMUSG00000003824	Syce2
MGI:3646779	Gm16477
MGI:3030195	Olfr361
MGI:3512159	Espq3
MGI:5623680	Gm40795
MGI:2675669	Nusap1
MGI:5434774	Gm21419
ENSMUSG00000081649	Olfr213
MGI:5623681	Gm40796
MGI:5434775	Gm21420
ENSMUSG00000094678	Olfr857
MGI:3765340	Dppa5b
ENSMUSG00000085551	1810063I02Rik
ENSMUSG00000028238	Atp6v0d2
MGI:3026934	9430088F21Rik
ENSMUSG00000085555	2610035F20Rik
ENSMUSG00000004446	Bid
ENSMUSG00000098550	Mir7079
ENSMUSG00000094672	Vmn2r25
ENSMUSG00000094673	Olfr1354
ENSMUSG00000098555	Mir6341
MGI:3765342	Dppa5c
