RNF14	Rnf14
HIF3A	Hif3a
RNF17	Rnf17
RNF10	Rnf10
C6ORF120	1600012H06Rik
RNF13	Rnf13
RNU6995P	Gm22975,Gm25811
REM1	Rem1
REM2	Rem2
TNRC18	Tnrc18
RN7SL445P	Gm27853
RPEL1	Rpe
RNASEKC17ORF49	0610010K14Rik
FGFR1OP2	Fgfr1op2
MZT2A	Mzt2
MZT2B	Mzt2
CHMP1B	Chmp1b
PMM2	Pmm2
UBE2F	Gm5434,Ube2f
PMM1	Pmm1
ASS1	Ass1,Gm5424
NCBP1	Ncbp1
SPX	Spx
ZNF709	Zfp872
ZNF708	Zfp457,Zfp458,Zfp595,Zfp65,Zfp759
RBM14	Rbm14
ZNF878	Zfp563,Zfp617,Zfp709,Zfp799,Zfp811,Zfp870,Zfp871
EN1	En1
CAMK1	Camk1
RPL37	Rpl37
ABHD14AACY1	Acy1
ZNF707	Zfp707
CAMK4	Camk4
ZNF704	Zfp704
ZC3H10	Zc3h10
GOLGA6B	Golga2
RNF115	Rnf115
RNF112	Rnf112
ZC3H14	Zc3h14
SPN	Spn
HMGCLL1	Hmgcll1
LRRTM1	Lrrtm1
GRIN1	Grin1
DHX8	Dhx8
DHX9	Dhx9
TCOF1	Tcof1
LRRTM3	Lrrtm3
TAP1	Tap1
NUP98	Nup98
RNY1P16	Gm24379
SLC12A2	Slc12a2
GRINA	Grina
LRRTM2	Lrrtm2
FAM90A26	Fam90a1a,Fam90a1b
HAP1	Hap1
SP6	Sp6
CAMKV	Camkv
RNU613P	Gm22443,Gm22638,Gm23307,Gm24797,Gm25286,Gm25671
GOLIM4	Golim4
ZNF646	Zfp646
OPA3	Opa3
OPA1	Opa1
RHEB	Rheb
RAB40C	Rab40c
RAB40B	Rab40b
RAB40A	Rab40b
COL7A1	Col7a1
ZKSCAN2	Zkscan2
ZNF511PRAP1	Zfp511
TICRR	Ticrr
GTSE1	Gtse1
FAM183A	Fam183b
B2M	B2m
TRBV42	Trbv5
RNU6727P	Gm23622,Gm24851
PSAP	Psap
RPRD2	Rprd2
SPPL2A	Sppl2a
SPPL2C	Sppl2c
SLC46A1	Slc46a1
RNU6396P	Gm24754
ITGA8	Itga8
ITGA9	Itga9
UGCG	Ugcg
MYO3B	Myo3b
WDR93	Wdr93
ATP2A1	Atp2a1
ATP2A2	Atp2a2
ATP2A3	Atp2a3
ITGA1	Itga1
ITGA2	Itga2
ITGA3	Itga3
ITGA4	Itga4
ITGA5	Itga5
ITGA6	Itga6
ITGA7	Itga7
TRHR	Trhr
CXORF40A	1110012L19Rik
CXORF40B	1110012L19Rik
DENND4A	Dennd4a
DENND4B	Dennd4b
CT55	Gm14597
SWAP70	Swap70
C17ORF49	0610010K14Rik
PHLDA1	Phlda1
PHLDA3	Phlda3
PHLDA2	Phlda2
TACO1	Taco1
SLC17A3	Slc17a3
GAP43	Gap43
NENF	Nenf
FBXL13	Fbxl13
FBXL12	Fbxl12
FBXL15	Fbxl15
CYP27B1	Cyp27b1
FBXL17	Fbxl17
FBXL16	Fbxl16
FAM169A	Fam169a
FBXL18	Fbxl18
PHYHIPL	Phyhipl
FAM169B	Fam169b
GHDC	Ghdc
SDK1	Sdk1
SDK2	Sdk2
RNA5SP355	Gm27959
GRP	Grp
RBM14RBM4	Gm21992,Rbm4
THSD4	Thsd4
SZRD1	Szrd1
FAM212B	Fam212b
FAM212A	Fam212a
CHST9	Chst9
CHST8	Chst8
COL4A5	Col4a5
COL4A4	Col4a4
AP0028842	Sdhd
COL4A2	Col4a2
COL4A1	Col4a1
SLC35D2	Slc35d2
CHST1	Chst1
ZNF879	Zfp879
CHST3	Chst3
CHST2	Chst2
CHST5	Chst5
CHST4	Chst4
CHST7	Chst7
CHST6	Chst5
ITGAX	Itgax
BCL2A1	Bcl2a1a,Bcl2a1b,Bcl2a1c,Bcl2a1d,Gm29094
HLCS	Hlcs
NOG	Nog
LIPG	Lipg
ITGAV	Itgav
HIBCH	Hibch
RNU61104P	Gm24319
ITGAL	Itgal
ITGAM	Itgam
HLF	Hlf
NOV	Nov
FAM134C	Fam134c
COPRS	Coprs
FAM134A	Fam134a
RNA5SP184	n-R5s31
SMAD9	Smad9
LRPAP1	Lrpap1
SMAD5	Smad5
SMAD6	Smad6
RNA5SP186	Gm25555
GOLPH3L	Golph3l
SMAD1	Smad1
AFTPH	Aftph
SMAD3	Smad3
MUS81	Mus81
AMMECR1L	Ammecr1l
TNFRSF13B	Tnfrsf13b
RNA5SP188	n-R5s150
IL1RAPL1	Il1rapl1
TMPRSS11B	Tmprss11b
IGF2R	Igf2r
TMPRSS11D	Tmprss11d
TMPRSS11E	Tmprss11e
TMPRSS11F	Tmprss11f
RAD21L1	Rad21l
IL1RAPL2	Il1rapl2
SLC36A3	Slc36a3
CKS1B	Cks1b
SLC36A1	Slc36a1
HYI	Hyi
MROH2A	Mroh2a
ERICH6	Erich6
ERICH5	Erich5
ERICH4	Erich4
ERICH3	Erich3
ERICH2	Erich2
ERICH1	Erich1
ARTN	Artn
ART1	Art1
HRH3	Hrh3
ART3	Art3
ART5	Art5
ART4	Art4
